timestamp,model,host,port,tp,gpu_mem,max_num_seqs,max_num_batched_tokens,block_size,mode_chunked_prefill,mode_prefix_caching,disable_custom_all_reduce,concurrency,num_requests,max_new_tokens,temperature,success_count,error_count,wall_time_s,total_prompt_tokens,total_completion_tokens,total_tokens,throughput_tokens_per_s,goodput_tokens_per_s,reqs_per_s,notes
1761792810,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,1024,16,1,0,1,16,200,128,0.0,200,0,56.562795877456665,4760,25600,30360,452.59431756984605,452.59431756984605,3.5358931060144223,
1761792912,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,1024,16,0,1,1,16,200,128,0.0,200,0,56.4929621219635,4760,25600,30360,453.15379187821264,453.15379187821264,3.5402639990485363,
1761793014,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,1024,32,1,0,1,16,200,128,0.0,200,0,56.92744016647339,4760,25600,30360,449.69525988060775,449.69525988060775,3.513244217817248,
1761793119,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,1024,32,0,1,1,16,200,128,0.0,200,0,56.83867812156677,4760,25600,30360,450.39752587571843,450.39752587571843,3.5187306709040502,
1761793221,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,2048,16,1,0,1,16,200,128,0.0,200,0,56.544291734695435,4760,25600,30360,452.742429246698,452.742429246698,3.537050228489828,
1761793325,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,2048,16,0,1,1,16,200,128,0.0,200,0,56.61153745651245,4760,25600,30360,452.2046414949474,452.2046414949474,3.5328487616792765,
1761793429,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,2048,32,1,0,1,16,200,128,0.0,200,0,56.905407428741455,4760,25600,30360,449.8693736980451,449.8693736980451,3.514604482015977,
1761793531,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,2048,32,0,1,1,16,200,128,0.0,200,0,56.889328718185425,4760,25600,30360,449.9965209084392,449.9965209084392,3.5155978195971813,
1761793633,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,4096,16,1,0,1,16,200,128,0.0,200,0,56.41882872581482,4760,25600,30360,453.7492283721683,453.7492283721683,3.544915846657565,
1761793737,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,4096,16,0,1,1,16,200,128,0.0,200,0,56.48560452461243,4760,25600,30360,453.21281794630227,453.21281794630227,3.5407251402054865,
1761793841,Qwen/Qwen3-8B,0.0.0.0,8000,1,0.8,256,4096,32,1,0,1,16,200,128,0.0,200,0,56.80520510673523,4760,25600,30360,450.66292696062607,450.66292696062607,3.520804116879891,
